"incident_no","date","time","vehicle_type","role","location","Latitude","Longitude","city","injured","killed","year"
18100049,2018-01-01,11:05:00,"BICYCLE","BICYCLIST","N COAST HIGHWAY 101 & ATHENA STREET, ENCINITAS, CA 92024",33.0586093,-117.2995645,"ENCINITAS",1,0,2018
18100169,2018-01-02,03:05:00,"AUTOMOBILE","DRIVER","ROSEBAY DRIVE & SNAPDRAGON STREET, ENCINITAS, CA 92024",33.0502923,-117.2737407,"ENCINITAS",0,0,2018
18100340,2018-01-02,19:20:00,"AUTOMOBILE","DRIVER","0 PRIVATE PROPERTY , SOLANA BEACH, CA 92075",32.9956666,-117.2646723,"SOLANA BEACH",0,0,2018
18100479,2018-01-03,14:10:00,"AUTOMOBILE","DRIVER","110 HILLCREST DRIVE, ENCINITAS, CA 92024",33.0762,-117.3052208,"ENCINITAS",0,0,2018
18100545,2018-01-03,20:26:00,"LIGHT DUTY TRUCK","DRIVER","404 ENCINITAS BOULEVARD, ENCINITAS, CA 92024",33.0491754,-117.2829046,"ENCINITAS",0,0,2018
18100582,2018-01-04,01:12:00,"LIGHT DUTY TRUCK","DRIVER","1137 REGAL ROAD, ENCINITAS, CA 92024",33.0373699,-117.280884,"ENCINITAS",0,0,2018
18100864,2018-01-05,12:15:00,"AUTOMOBILE","DRIVER","1150 GARDEN VIEW ROAD, ENCINITAS, CA 92024",33.0582954,-117.2643967,"ENCINITAS",0,0,2018
18101046,2018-01-06,10:36:00,"BICYCLE","BICYCLIST","CAM DEL MAR ( 00 BLOCK ) & SCL of Carmel Valley, DEL MAR, CA 92014",32.9594891,-117.2653146,"DEL MAR",1,0,2018
18101230,2018-01-07,15:07:00,"AUTOMOBILE","DRIVER","W J STREET & 02ND STREET, ENCINITAS, CA 92024",33.0380679,-117.2932389,"ENCINITAS",0,0,2018
18101633,2018-01-09,18:36:00,"AUTOMOBILE","DRIVER","N EL CAMINO REAL & Encinitas, ENCINITAS, CA 92024",33.0459245,-117.2596774,"ENCINITAS",0,1,2018
18101926,2018-01-11,10:53:00,"AUTOMOBILE","DRIVER","N VULCAN AVENUE & E JASON STREET, ENCINITAS, CA 92024",33.0707564,-117.3038135,"ENCINITAS",1,0,2018
18102020,2018-01-11,17:30:00,"BICYCLE","BICYCLIST","CAMINO DEL MAR & CARMEL VALLEY ROAD, DEL MAR, CA 92014",32.9391967,-117.2583622,"DEL MAR",2,0,2018
18102030,2018-01-11,18:24:00,"AUTOMOBILE","DRIVER","307 CANTLE LANE, ENCINITAS, CA 92024",33.0743643,-117.207094,"ENCINITAS",1,0,2018
18102035,2018-01-11,18:51:00,"LIGHT DUTY TRUCK","DRIVER","2000 S 101 #Block, ENCINITAS, CA 92007",33.0170252,-117.2734901,"ENCINITAS",0,0,2018
18102174,2018-01-12,15:48:00,"FARM EQUIPMENT","DRIVER","N VULCAN AVENUE & E GLAUCUS ST, ENCINITAS, CA 92024",33.0685231,-117.3030858,"ENCINITAS",1,0,2018
